amfi_code,alpha,beta
100016,-0.027015233182344934,0.866313573400346
100025,0.017606629190943357,0.20053940116827412
100033,-0.003786500118210194,0.9707423696962184
101206,0.007477283334530234,0.8618365958438268
101207,-0.032234504161025586,1.0457693206016245
101208,0.0430952205753583,0.0056148375249791315
102885,0.006532371357009242,0.808293068774864
102886,-0.03318308604867316,0.9498410576909093
102887,-0.007270271570220867,0.8966756224109363
118632,0.011327023020962352,0.8431648623194498
118633,-0.0016327742111324863,0.8450674356461544
118634,-0.025648562582433223,1.0394671932197672
118635,0.0009690094210167114,0.8190520335902159
118636,0.02148423551395596,0.21239263299785224
119092,-0.01859486801210461,0.8405966366321372
119093,-0.015645044308670975,0.8391791529744634
119094,-0.00385419314408592,0.9625586580834008
119095,-0.036413530741444135,1.0357975302907512
119120,0.0249704553821033,0.20657420812776356
119551,0.015959595877395427,0.8320140467542226
119552,0.008350812640345618,0.8362138750528816
119598,-0.015475232013371951,1.0403196671959998
119599,-0.03744528368227015,1.056434521060117
120503,0.003637896800033397,0.8372120724209894
120504,0.007631383162113748,0.8584177869466593
120505,-0.00036968333475833866,0.9668291458067731
120506,-0.005299057635706615,0.8839197604856271
120507,0.04796160947629439,0.0033001763253989666
120841,-0.004977518977358569,0.8329443236802268
120842,-0.02619534759967285,0.9501474176652482
120843,0.00983936511436328,0.9044522189117742
120844,0.04571009079468486,0.005615437950140567
125497,-0.0006908567738536531,0.8707352014374814
125498,-0.02292620515622383,0.9720140696096063
148567,0.020168171410203967,0.852012527281094
148568,0.0009490266462431379,0.893544685886634
148569,0.0057439837051825645,0.9322001137728335
149322,-0.007343211617345375,0.8529397674933225
149323,-0.0017385033229408826,0.9566638601014901
149324,-0.017426692884015327,1.0484731116687007
