amfi_code,sharpe_ratio
100016,-0.3210192604995431
100025,-1.0399413574427758
100033,0.8082678003905593
101206,0.717408995989017
101207,0.052618136475855025
101208,-4.650400707150914
102885,0.5197971450361778
102886,-0.2948889128510891
102887,0.38463733450338433
118632,0.7588510310771438
118633,0.38882884600017414
118634,0.292343251010993
118635,0.39318819691240553
118636,-0.8505789759662294
119092,-0.13100916883965188
119093,-0.04707325681075911
119094,0.7305467735561727
119095,-0.15165815861644155
119120,-0.7430986305648412
119551,0.8609773262277756
119552,0.6482414723266906
119598,0.7116901743847246
119599,-0.13617811182970377
120503,0.5165503915082101
120504,0.7146822636441237
120505,0.8832556184698839
120506,0.40461547832920475
120507,-3.650183878568479
120841,0.25511741256223125
120842,-0.058166811414922526
120843,0.965560651744012
120844,-4.000348969233409
125497,0.5062729716095955
125498,0.13479784106103954
148567,1.0682238272314732
148568,0.6406730942266642
148569,0.9190465356358282
149322,0.2396633677728517
149323,0.8328852279505965
149324,0.7144216579881013
