amfi_code,sortino_ratio
100016,-0.4728224084369747
100025,-1.4612200367895027
100033,1.1442164603950202
101206,1.0639085968011799
101207,0.07566830445152811
101208,-8.741654278994412
102885,0.7729719235511073
102886,-0.4205889785291457
102887,0.571857543023029
118632,1.0988795112458636
118633,0.5886328565297931
118634,0.41130360047665027
118635,0.5694261625753934
118636,-1.2383022198784408
119092,-0.18918833169513888
119093,-0.06789981210009612
119094,1.0552844773147763
119095,-0.21634600934828307
119120,-1.045909778283203
119551,1.2914833497690066
119552,0.9265632920561693
119598,1.0672557743438265
119599,-0.19003542050379565
120503,0.7329158023031636
120504,1.0639638792991957
120505,1.2858427838168305
120506,0.5781364061026485
120507,-7.208233748898268
120841,0.3766193408262903
120842,-0.08069596764131792
120843,1.4795034584167766
120844,-7.768003070332341
125497,0.734797599748163
125498,0.19294712720125923
148567,1.490738952294708
148568,0.955767194381326
148569,1.3528150221233652
149322,0.33295209417121097
149323,1.167793379907482
149324,1.0309617308730288
